TICKER_ID,TICKER,TICKER_NAME                                                ,SECTOR_ID,SECTOR          ,INDUSTRY                                ,INDEX_ID,INDEX ,DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
11,DBK   ,Deutsche Bank AG                                           ,5,Financial       ,Money Center Banks                      ,1,DAX   ,Deutsche Bank Aktiengesellschaft provides investment; financial; and related products and services. The companyâs Corporate and Investment Bank division engages in the origination; sale; structuring; and trading of bonds; equities and equity-linked products; exchange-traded and over-the-counter derivatives; foreign exchange; money market instruments; securitized instruments; and commodities to sovereign countries and multinational organizations; and medium-sized companies and multinational corporations. It also offers mergers and acquisitions advisory; corporate finance; and transaction banking; as well as trade finance; and trust and securities services for financial institutions and other companies. Its Private Clients and Asset Management division provides mutual funds and alternative investment products; wealth management services to high net worth individuals and families; and investment solutions to individual and institutional customers; as well as manages real estate and infrastructure investments; private equity funds; and insurance assets. This division also offers a range of banking products and services; including current accounts; deposits and loans; and investment management and pension products to private and self-employed individuals; and small to medium-sized businesses. The companyâs Corporate Investments divisionâs principal investment activities comprise private equity and venture capital investments; corporate real estate investments; credit exposures; and credit facilities. As of December 31; 2011; Deutsche Bank Aktiengesellschaft operated 3;078 branches in 72 countries worldwide. The company was founded in 1870 and is headquartered in Frankfurt am Main; Germany.                                                                                                                                                                                                                                                                                      
12,DPW   ,Deutsche Post AG                                           ,8,Services        ,Air Delivery & Freight Services         ,1,DAX   ,Deutsche Post AG and its subsidiaries provide logistics and communications services worldwide. The company operates in four divisions: Mail; Express; Global Forwarding; Freight; and Supply Chain. The Mail division delivers domestic and international mail and parcels. This division offers franking; philately; mail advertisement; press distribution; mailroom and printing; home delivery; and document management services; pension services comprising database administration and payment processing services; and electronic services associated with mail delivery. The Express division offers courier and express services to business and private customers. The Global Forwarding; Freight division is involved in the transportation of goods by rail; road; air; and sea. This division offers customs clearance services; and full; part; and less than truckload freight services. The Supply Chain division provides supply chain logistics solutions; such as warehousing; distribution; managed transport; business process outsourcing; supply chain management and consulting; and value-added services. This division primarily serves consumer; retail; technology; life sciences and healthcare; automotive; and energy sectors. Deutsche Post AG also offers online services; including retail outlet search; postal code search; postage calculator; and track and trace services. The company is headquartered in Bonn; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
13,DTE   ,Deutsche Telekom AG                                        ,7,Technology      ,Wireless Communications                 ,1,DAX   ,Deutsche Telekom AG operates as an integrated telecommunication company in Germany and internationally. The company offers fixed-network services; such as voice and data communication services based on fixed-network and broadband technology; and is involved in the sale of terminal equipment and other hardware. It also provides mobile; voice; and data services to consumers and business customers; sells mobile handsets and other hardware; and sells mobile communication services to resellers and mobile virtual network operators. In addition; the company offers Internet Protocol television products and services for consumers; information and communication technology solutions for multinational corporations and public-sector institutions with a global infrastructure of data centers and networks under the T-Systems brand; and cloud computing services and information technology solutions for energy and healthcare sectors. It has approximately 129 million mobile customers; 36 million fixed-network lines; and approximately 16 million broadband lines. Deutsche Telekom AG was founded in 1995 and is headquartered in Bonn; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
14,EOAN  ,E.ON AG                                                    ,10,Utilities       ,Diversified Utilities                   ,1,DAX   ,E.ON AG; an integrated power and gas company; engages in the power generation; energy trading; and gas supply businesses. The company generates electricity from coal; natural gas and oil; nuclear; water; wind; solar; and bio energy; and is involved in the exploration and production of gas in the North Sea. It also engages in the storage and transportation of gas; including liquefying natural gas; carbon sourcing; and distribution of power and gas. In addition; the company buys and sells electricity; natural gas; oil; coal; biomass; freight; and carbon allowances. It serves residential; business; industrial; regional and municipal utilities; and local public authorities. The company operates approximately 1.1 million kilometers of low and medium-voltage electricity cables; 100;000 kilometers of gas distribution networks; and 45;000 kilometers of high-voltage power lines. It has operations primarily in Europe; Russia; and North America. The company was founded in 1929 and is based in Dusseldorf; Germany.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
15,FME   ,Fresenius Medical Care AG & Co. KGAA                       ,9,Healthcare      ,Hospitals                               ,1,DAX   ,Fresenius Medical Care AG & Co. KGaA; a kidney dialysis company; provides products and services for the treatment of end-stage renal disease worldwide. The company owns and operates dialysis clinics that provide dialysis treatment; and related laboratory and diagnostic services. As of December 31; 2011; it operated 2;898 clinics in approximately 40 countries. The companyâs laboratory services comprise blood; urine; and other bodily fluid testing services. It also offers hemodialysis (HD) machines; modular components for dialysis machines; polysulfone dialyzers; bloodlines; HD solutions; concentrates; and granulates; needles; connectors; machines for water treatment; data administration systems; dialysis chairs; iron products; and other renal drug products; as well as peritoneal dialysis cycler machines and disposable products. In addition; the company also provides adsorbers; which are specialized filters used in other extracorporeal therapies; and distributes specific instruments for vascular access; as well as other supplies that include bandages; clamps; and injections. Further; it offers dialysis solutions in bags; such as solutions for priming and rinsing HD bloodlines; as well as connection systems for central concentrate supplies and devices for mixing dialysis solutions; and solutions for disinfecting and decalcifying HD machines; fistula needles; and HD catheters; as well as dialysis tubing systems and accessories. Additionally; the company provides a line of peritoneal dialysis systems and solutions; which comprise continuous ambulatory peritoneal dialysis (CAPD) and continuous cycling peritoneal dialysis systems. It also offers automated connection technology; and patient management software tools to support both CAPD and APD therapies. Fresenius Medical Care AG & Co. KGaA sells its products through local sales forces; independent distributors; dealers; and sales agents. The company was founded in 1996 and is headquartered in Bad Homburg; Germany.   
16,FRE   ,Fresenius SE & Co KGaA                                     ,9,Healthcare      ,Hospitals                               ,1,DAX   ,Fresenius SE & Co. KGaA provides products and services for dialysis; hospital; and outpatient medical care worldwide. The companyâs Fresenius Medical Care segment provides products and services for the treatment of patients with chronic kidney failure. This segment offers hemodialysis; acute and peritoneal dialysis; dialysis care; data management; managed care; laboratory; and diagnostic dialysis-related services; therapeutical apheresis; and liver support therapy services. Its Fresenius Kabi segment offers therapy and care products for chronically and critically ill patients. This segment provides intravenously administered generic drugs; such as anesthetics; analgesics; and anti-infectives; as well as drugs for the treatment of oncological and other critical diseases; blood volume replacement products and infusion solutions; parenteral and enteral nutrition products; infusion and nutrition pumps; infusion management systems; and disposables; infusion technology; ambulatory care; and products used by blood banks and blood donation units to produce blood products. As of March 19; 2012; the companyâs Fresenius Helios segment operated 75 clinics; including 51 are acute hospitals and 24 post acute care clinics with approximately 23;000 beds; and 38 medical care centers. Its Fresenius Vamed segment offers project development and management; planning; turnkey hospital projects; medical equipment; medical-technical installations service and maintenance; facility and technical management; and general management services for hospitals and other health care facilities. Fresenius SE & Co. KGaA also provides therapeutics comprising immunosuppressive agent ATG-Fresenius S; fluids and disposables for organ perfusion and preservation; and vector production gene therapy. The company was formerly known as Fresenius SE and changed its name to Fresenius SE & Co. KGaA in January 2011. Fresenius SE & Co. KGaA was founded in 1912 and is headquartered in Bad Homburg; Germany.     
17,HEI   ,HeidelbergCement AG                                        ,3,Industrial Goods,General Building Materials              ,1,DAX   ,HeidelbergCement AG engages in the production and distribution of cement and aggregates worldwide. The company also offers ready-mixed concrete; concrete products; and concrete elements; as well as other related products and services. Its cement products comprise specialty cements; including white cements and trass cements; sulphate resisting aquament and portland cement for hydraulic engineering; anti-sulphate for sewage works construction; microcem cement for soil injection and masonry repair; and depocrete and procrete for waste dump sealing; masonry cement; and specific binders; including tailor-made ready-mixed cement products for geotechnology; environmental technology; and road construction. The company provides aggregates for ready mixed concrete and concrete products; as well as for structural fill; road base; railway ballast; and various other applications. Its concrete products consist of ready-mixed concrete; ready-mixed mortar; and other concrete products; such as light; heavy; and aerated concrete building blocks; pavers; and prefabricated ceilings and walls; and prefabricated cellar units and sewage works units. In addition; the company offers building products; which include limestone and lime products comprising limestone aggregates; limestone sand; pulverised limestone; burnt limestone; white pulverised limestone; and limestone hydrate; sand-lime bricks; such as sand-lime brick construction systems and sand-lime bricks; and specialty products and services for waste stabilization; landfill construction; and immobilization of toxic compounds. HeidelbergCement AG was founded in 1873 and is headquartered in Heidelberg; Germany.                                                                                                                                                                                                                                                                                                                                        
18,HEN3  ,Henkel AG & Co. KGaA                                       ,4,Consumer Goods  ,Personal Products                       ,1,DAX   ,Henkel AG & Co. KGaA; together with its subsidiaries; engages in laundry and home care; cosmetics/toiletries; and adhesive technologies businesses. The companyâs Laundry and Home care segment offers heavy-duty and specialty detergents; fabric softeners; laundry performance enhancers; and laundry care products; hand-dishwashing and machine-dishwashing products; cleaners for bath and WC applications; household; glass; and specialty cleaners; as well as air fresheners and insecticides for household applications. This segment markets its products primarily under the brand names of Persil; Purex; and Dixan. Henkelâs Cosmetics/Toiletries segment provides hair cosmetics; body care; skin care; and oral care products; as well as professional hair salon products. This segment markets its products primarily under the Schwarzkopf; Dial; and Syoss brand names. The companyâs Adhesive Technologies segment offers decoration and renovation products; adhesive and correction products for home and office; building adhesives; industrial and structural adhesives; sealants and surface treatment products; pressure sensitive adhesives; and adhesives and sealants for craftsmen and consumers; as well as for applications in the home; school; and office. This segment serves transportation; electronics; aerospace; metal; durable goods; consumer goods; maintenance; and repair and packaging industries. It markets its products primarily under the brand names of Loctite; Teroson; and Technomelt. The company offers its products principally through wholesalers and distributors in Europe; Africa; the Middle East; North America; Latin America; and the Asia Pacific. Henkel AG & Co. KGaA was founded in 1876 and is headquartered in DÃ¼sseldorf; Germany.                                                                                                                                                                                                                                                         
19,IFX   ,Infineon Technologies AG                                   ,7,Technology      ,Semiconductor - Broad Line              ,1,DAX   ,Infineon Technologies AG; together with its subsidiaries; engages in the design; development; manufacture; and marketing of semiconductors and system solutions primarily in Europe; Asia; and North America. Its products include standard commodity components; full-custom devices; semi-custom devices and system solutions; and application-specific components for analog; digital; and mixed-signal applications; as well as embedded; non-volatile memories. The companyâs products are used in various microelectronic applications; such as computer systems; telecommunication systems; and consumer goods. It operates in three segments: Automotive; Industrial & Multimarket; and Chip Card & Security. The Automotive segment designs; develops; manufactures; and markets semiconductors for use in automotive applications; and offers corresponding system know-how and support to its customers. This segment provides sensors; microcontrollers; power semiconductors; and power modules for vehicle powertrain; body and convenience; safety management; and infotainment applications. The Industrial & Multimarket segment designs; develops; manufactures; and markets semiconductors and system solutions primarily for use in industrial applications and in applications with customer-specific product requirements. This segment offers power semiconductors and power modules; custom ICs; and small-signal discrete semiconductors for use in electrical energy generation; transmission; and conversion; and medical; consumer electronics; and computing products. The Chip Card & Security segment designs; develops; manufactures; and markets various security controllers and security memories for chip card and security applications. This segment provides security components for passports; identity cards; and contactless payment cards; as well as chips for credit cards; access cards; and trusted computing solutions. Infineon Technologies AG was founded in 1999 and is headquartered in Neubiberg; Germany.           
20,LHA   ,Deutsche Lufthansa Aktiengesellschaft                      ,8,Services        ,Major Airlines                          ,1,DAX   ,Deutsche Lufthansa Aktiengesellschaft; an aviation company; provides passenger transport; airfreight; and airline services worldwide. It operates in five segments: Passenger Airline Group; Logistics; MRO; IT Services; and Catering. The Passenger Airline Group segment offers passenger services by transporting 100.6 million passengers. The Logistics segment provides freight transport services for various cargos; including live animals; valuable cargo; mail; dangerous goods; and temperature sensitive goods; road feeder services; and ad hoc charter solutions for goods. This segment has a network of 300 destinations in approximately 100 countries. The MRO segment offers maintenance; repair; and overhaul services for civil commercial aircraft. The IT Services segment provides consultancy and information technology services for the airline; transport and logistics; media and publishing; energy; healthcare; and tourism industries. This segment is involved in the development and implementation of custom-built applications through to systems operations in its own data centers. The Catering segment offers airline catering; and related upstream and downstream in-flight services; and equipment solutions and logistics services for airline customers. The company also provides business travel management solutions in the area of payment and analysis of corporate travel. In addition; it offers training courses; such as simulator; cabin; and flight training courses. As of December 31; 2011; Deutsche Lufthansa Aktiengesellschaft had a fleet of 696 aircraft with an average age of 11.2 years. The company is headquartered in Cologne; Germany.                                                                                                                                                                                                                                                                                                                                                              
21,LIN   ,Linde AG                                                   ,3,Industrial Goods,Diversified Machinery                   ,1,DAX   ,Linde AG operates as a gases and engineering company worldwide. The companyâs Gases division offers a range of compressed and liquefied gases; as well as chemicals for various industries. Its gases are primarily used in steel production; chemical processing; environmental protection; welding; food processing; glass production; and electronics; as well as in the energy sector. This divisionâs products include oxygen; nitrogen; argon; hydrogen; acetylene; carbon monoxide; carbon dioxide; shielding gases; and noble gases; calibration gas mixtures; high-purity gases; and gas mixtures; liquefied and cylinder gases; and electronic gases. It is also involved in the development and distribution of procedures and systems for gas applications. In addition; this division provides pharmaceutical and medical gases for the healthcare sector; develops hydrogen technology; and supplies gas and welding equipment; arc equipment and accessories; tools; and safety products. Its Engineering division offers planning; project development; and construction services for plants for the production of hydrogen and synthesis gas; oxygen; and olefins as well as plants for natural gas treatment. This divisionâs plants are used in various fields in the petrochemical and chemical industries; refineries and fertilizer plants; and pharmaceutical industry; as well as to recover air gases; produce hydrogen and synthesis gases; and treat natural gas. The companyâs Gist division provides various supply chain solutions consisting of end management and customer fulfillment. Linde AG was founded in 1879 and is headquartered in Munich; Germany.                                                                                                                                                                                                                                                                                                                                                                        
